agent,bytes,clientip,extension,geo.coordinates,geo.dest,geo.src,geo.srcdest,hour_of_day,ip,machine.os,machine.ram,memory,message,phpmemory,referer,request,response,url,utc_time
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","7,363",79.156.49.129,deb,"{
  ""lat"": 39.57012833,
  ""lon"": -104.8492942
}",AU,IN,IN:AU,15,79.156.49.129,win 7,"15,032,385,536",,"79.156.49.129 - - [2018-08-04T15:27:09.250Z] ""GET /beats/metricbeat/metricbeat-6.3.2-amd64.deb HTTP/1.1"" 200 7363 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/john-fabian,/beats/metricbeat/metricbeat-6.3.2-amd64.deb,200,https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb,"August 4th 2018, 15:27:09.250"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),0,118.64.135.167,,"{
  ""lat"": 33.64886139,
  ""lon"": -105.895685
}",US,NI,NI:US,15,118.64.135.167,ios,"11,811,160,064",,"118.64.135.167 - - [2018-08-04T15:26:26.538Z] ""GET /beats/metricbeat HTTP/1.1"" 503 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://nytimes.com/success/rusty-schweickart,/beats/metricbeat,503,https://www.elastic.co/downloads/beats/metricbeat,"August 4th 2018, 15:26:26.538"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"5,522",27.243.169.69,zip,"{
  ""lat"": 63.10577694,
  ""lon"": -154.7189806
}",DZ,CN,CN:DZ,15,27.243.169.69,win xp,"20,401,094,656",,"27.243.169.69 - - [2018-08-04T15:20:25.743Z] ""GET /kibana/kibana-6.3.2-windows-x86_64.zip HTTP/1.1"" 200 5522 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://nytimes.com/warning/steven-lindsey,/kibana/kibana-6.3.2-windows-x86_64.zip,200,https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip,"August 4th 2018, 15:20:25.743"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24",54,162.79.34.12,,"{
  ""lat"": 51.87796389,
  ""lon"": -176.6460306
}",PH,IN,IN:PH,15,162.79.34.12,win 8,"10,737,418,240",,"162.79.34.12 - - [2018-08-04T15:16:29.658Z] ""GET /enterprise-search HTTP/1.1"" 200 54 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://facebook.com/success/leroy-chiao,/enterprise-search,200,https://www.elastic.co/solutions/enterprise-search,"August 4th 2018, 15:16:29.658"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","4,119",125.68.54.153,,"{
  ""lat"": 20.96293639,
  ""lon"": -156.6730317
}",NG,US,US:NG,15,125.68.54.153,win xp,"32,212,254,720",,"125.68.54.153 - - [2018-08-04T15:03:00.821Z] ""GET /apm HTTP/1.1"" 200 4119 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/warning/stephen-robinson,/apm,200,https://www.elastic.co/downloads/apm,"August 4th 2018, 15:03:00.821"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","2,369",77.17.155.213,zip,"{
  ""lat"": 36.32697806,
  ""lon"": -104.6197117
}",ID,BI,BI:ID,14,77.17.155.213,win 8,"2,147,483,648",,"77.17.155.213 - - [2018-08-04T14:54:39.070Z] ""GET /apm-server/apm-server-6.3.2-windows-x86.zip HTTP/1.1"" 200 2369 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/success/apollo-12,/apm-server/apm-server-6.3.2-windows-x86.zip,200,https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip,"August 4th 2018, 14:54:39.070"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"2,073",45.91.116.169,,"{
  ""lat"": 44.54165056,
  ""lon"": -99.44622306
}",JP,TT,TT:JP,14,45.91.116.169,ios,"32,212,254,720",,"45.91.116.169 - - [2018-08-04T14:45:35.557Z] ""GET /elasticsearch HTTP/1.1"" 200 2073 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://facebook.com/success/kenneth-ham,/elasticsearch,200,https://www.elastic.co/downloads/elasticsearch,"August 4th 2018, 14:45:35.557"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","8,124",240.82.212.120,zip,"{
  ""lat"": 41.47271639,
  ""lon"": -85.26080833
}",BF,UG,UG:BF,14,240.82.212.120,win 7,"18,253,611,008",,"240.82.212.120 - - [2018-08-04T14:36:32.973Z] ""GET /elasticsearch/elasticsearch-6.3.2.zip HTTP/1.1"" 200 8124 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/michael-fincke,/elasticsearch/elasticsearch-6.3.2.zip,200,https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip,"August 4th 2018, 14:36:32.973"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"4,850",210.44.198.207,,"{
  ""lat"": 34.58981806,
  ""lon"": -88.64699861
}",US,US,US:US,14,210.44.198.207,ios,"8,589,934,592","194,000","210.44.198.207 - - [2018-08-04T14:36:23.366Z] ""GET /people/type:astronauts/name:john-l-finley/profile HTTP/1.1"" 200 4850 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""","194,000",http://twitter.com/warning/ellen-ochoa,/people/type:astronauts/name:john-l-finley/profile,200,https://elastic-elastic-elastic.org/people/type:astronauts/name:john-l-finley/profile,"August 4th 2018, 14:36:23.366"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"2,438",162.19.100.29,css,"{
  ""lat"": 32.22436111,
  ""lon"": -80.69747222
}",CN,DE,DE:CN,14,162.19.100.29,win xp,"7,516,192,768",,"162.19.100.29 - - [2018-08-04T14:22:19.259Z] ""GET /styles/ads.css HTTP/1.1"" 200 2438 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/sergei-revin,/styles/ads.css,200,https://cdn.elastic-elastic-elastic.org/styles/ads.css,"August 4th 2018, 14:22:19.259"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","9,554",158.64.134.248,zip,"{
  ""lat"": 31.05126306,
  ""lon"": -87.06796833
}",VN,CN,CN:VN,14,158.64.134.248,ios,"5,368,709,120",,"158.64.134.248 - - [2018-08-04T14:20:28.241Z] ""GET /elasticsearch/elasticsearch-6.3.2.zip HTTP/1.1"" 404 9554 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/success/patrick-forrester,/elasticsearch/elasticsearch-6.3.2.zip,404,https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip,"August 4th 2018, 14:20:28.241"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"2,151",20.85.48.159,deb,"{
  ""lat"": 17.74719528,
  ""lon"": -64.70486444
}",US,US,US:US,14,20.85.48.159,win 8,"18,253,611,008",,"20.85.48.159 - - [2018-08-04T14:18:16.959Z] ""GET /elasticsearch/elasticsearch-6.3.2.deb HTTP/1.1"" 200 2151 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://www.elastic-elastic-elastic.com/error/gerald-p-carr,/elasticsearch/elasticsearch-6.3.2.deb,200,https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.deb,"August 4th 2018, 14:18:16.959"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","18,925",113.38.230.36,,"{
  ""lat"": 43.36824528,
  ""lon"": -103.3881378
}",MA,MX,MX:MA,14,113.38.230.36,win 8,"11,811,160,064",,"113.38.230.36 - - [2018-08-04T14:17:27.825Z] ""GET /beats HTTP/1.1"" 200 18925 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/error/samantha-cristoforetti,/beats,200,https://www.elastic.co/downloads/beats,"August 4th 2018, 14:17:27.825"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"8,744",189.151.193.226,,"{
  ""lat"": 40.85299,
  ""lon"": -85.45941917
}",NG,CN,CN:NG,14,189.151.193.226,win xp,"8,589,934,592",,"189.151.193.226 - - [2018-08-04T14:13:15.705Z] ""GET /enterprise HTTP/1.1"" 200 8744 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://twitter.com/success/vladislav-volkov,/enterprise,200,https://www.elastic.co/downloads/enterprise,"August 4th 2018, 14:13:15.705"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),244,247.126.133.102,,"{
  ""lat"": 38.23071,
  ""lon"": -112.6753497
}",IN,SV,SV:IN,14,247.126.133.102,win xp,"12,884,901,888",,"247.126.133.102 - - [2018-08-04T14:06:27.880Z] ""GET /metrics HTTP/1.1"" 200 244 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://twitter.com/success/pavel-belyayev,/metrics,200,https://www.elastic.co/solutions/metrics,"August 4th 2018, 14:06:27.880"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"6,688",41.24.121.113,css,"{
  ""lat"": 30.55840556,
  ""lon"": -92.099375
}",CN,IN,IN:CN,13,41.24.121.113,ios,"6,442,450,944",,"41.24.121.113 - - [2018-08-04T13:58:12.777Z] ""GET /styles/pretty-layout.css HTTP/1.1"" 200 6688 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/stephen-robinson,/styles/pretty-layout.css,200,https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css,"August 4th 2018, 13:58:12.777"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"1,647",206.192.169.175,,"{
  ""lat"": 30.30105583,
  ""lon"": -83.02318778
}",IN,CS,CS:IN,13,206.192.169.175,win 8,"20,401,094,656",,"206.192.169.175 - - [2018-08-04T13:48:05.480Z] ""GET /beats/filebeat HTTP/1.1"" 200 1647 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://twitter.com/success/brent-w-jett-jr-,/beats/filebeat,200,https://www.elastic.co/downloads/beats/filebeat,"August 4th 2018, 13:48:05.480"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","1,667",215.67.92.140,,"{
  ""lat"": 41.29028694,
  ""lon"": -98.99064278
}",IN,VN,VN:IN,13,215.67.92.140,osx,"8,589,934,592",,"215.67.92.140 - - [2018-08-04T13:47:08.551Z] ""GET /beats/metricbeat HTTP/1.1"" 200 1667 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/georgi-ivanov,/beats/metricbeat,200,https://www.elastic.co/downloads/beats/metricbeat,"August 4th 2018, 13:47:08.551"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"2,575",20.126.170.212,gz,"{
  ""lat"": 44.22164528,
  ""lon"": -93.91874333
}",MX,ZM,ZM:MX,13,20.126.170.212,win 7,"3,221,225,472",,"20.126.170.212 - - [2018-08-04T13:46:35.768Z] ""GET /elasticsearch/elasticsearch-6.3.2.tar.gz HTTP/1.1"" 200 2575 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/tracy-caldwell-dyson,/elasticsearch/elasticsearch-6.3.2.tar.gz,200,https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.tar.gz,"August 4th 2018, 13:46:35.768"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"5,034",15.173.52.16,deb,"{
  ""lat"": 43.77483333,
  ""lon"": -98.03861111
}",GB,CN,CN:GB,13,15.173.52.16,osx,"21,474,836,480",,"15.173.52.16 - - [2018-08-04T13:43:27.376Z] ""GET /beats/metricbeat/metricbeat-6.3.2-amd64.deb HTTP/1.1"" 200 5034 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://twitter.com/success/richard-r-arnold,/beats/metricbeat/metricbeat-6.3.2-amd64.deb,200,https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb,"August 4th 2018, 13:43:27.376"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","4,518",56.71.84.172,,"{
  ""lat"": 46.34663556,
  ""lon"": -98.28371
}",IR,BD,BD:IR,13,56.71.84.172,win xp,"5,368,709,120",,"56.71.84.172 - - [2018-08-04T13:43:16.203Z] ""GET /beats/filebeat HTTP/1.1"" 200 4518 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/success/dale-gardner,/beats/filebeat,200,https://www.elastic.co/downloads/beats/filebeat,"August 4th 2018, 13:43:16.203"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"8,421",71.177.163.94,gz,"{
  ""lat"": 37.70097028,
  ""lon"": -113.098575
}",MM,IN,IN:MM,13,71.177.163.94,win 8,"17,179,869,184",,"71.177.163.94 - - [2018-08-04T13:43:06.650Z] ""GET /kibana/kibana-6.3.2-linux-x86_64.tar.gz HTTP/1.1"" 200 8421 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://twitter.com/success/jerry-linenger,/kibana/kibana-6.3.2-linux-x86_64.tar.gz,200,https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-linux-x86_64.tar.gz,"August 4th 2018, 13:43:06.650"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","6,119",90.44.97.144,,"{
  ""lat"": 42.54260361,
  ""lon"": -113.7715442
}",TJ,IN,IN:TJ,13,90.44.97.144,osx,"20,401,094,656",,"90.44.97.144 - - [2018-08-04T13:42:24.868Z] ""GET /beats/metricbeat HTTP/1.1"" 200 6119 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/roy-bridges,/beats/metricbeat,200,https://www.elastic.co/downloads/beats/metricbeat,"August 4th 2018, 13:42:24.868"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","4,888",96.239.18.242,deb,"{
  ""lat"": 40.07878611,
  ""lon"": -95.59199167
}",BD,IN,IN:BD,13,96.239.18.242,ios,"12,884,901,888",,"96.239.18.242 - - [2018-08-04T13:37:57.127Z] ""GET /elasticsearch/elasticsearch-6.3.2.deb HTTP/1.1"" 404 4888 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/success/william-s-mcarthur,/elasticsearch/elasticsearch-6.3.2.deb,404,https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.deb,"August 4th 2018, 13:37:57.127"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,828,7.210.210.41,,"{
  ""lat"": 42.050075,
  ""lon"": -90.73880472
}",US,CN,CN:US,13,7.210.210.41,win 8,"19,327,352,832","33,120","7.210.210.41 - - [2018-08-04T13:36:52.746Z] ""GET /people/type:astronauts/name:oleg-kotov/profile HTTP/1.1"" 200 828 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""","33,120",http://facebook.com/success/vyacheslav-zudov,/people/type:astronauts/name:oleg-kotov/profile,200,https://elastic-elastic-elastic.org/people/type:astronauts/name:oleg-kotov/profile,"August 4th 2018, 13:36:52.746"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"5,724",129.11.135.241,deb,"{
  ""lat"": 60.33534556,
  ""lon"": -162.6670094
}",UA,FR,FR:UA,13,129.11.135.241,win 8,"32,212,254,720",,"129.11.135.241 - - [2018-08-04T13:35:21.442Z] ""GET /apm-server/apm-server-6.3.2-amd64.deb HTTP/1.1"" 200 5724 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/joseph-a-walker,/apm-server/apm-server-6.3.2-amd64.deb,200,https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-amd64.deb,"August 4th 2018, 13:35:21.442"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"14,186",73.157.252.11,deb,"{
  ""lat"": 42.73147222,
  ""lon"": -95.55613889
}",IN,UZ,UZ:IN,13,73.157.252.11,osx,"21,474,836,480",,"73.157.252.11 - - [2018-08-04T13:29:44.897Z] ""GET /elasticsearch/elasticsearch-6.3.2.deb HTTP/1.1"" 200 14186 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/ronald-a-parise,/elasticsearch/elasticsearch-6.3.2.deb,200,https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.deb,"August 4th 2018, 13:29:44.897"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","6,593",70.141.48.11,deb,"{
  ""lat"": 33.97047222,
  ""lon"": -80.99525
}",ZA,ID,ID:ZA,13,70.141.48.11,osx,"3,221,225,472",,"70.141.48.11 - - [2018-08-04T13:28:56.697Z] ""GET /beats/metricbeat/metricbeat-6.3.2-amd64.deb HTTP/1.1"" 200 6593 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/julie-payette,/beats/metricbeat/metricbeat-6.3.2-amd64.deb,200,https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb,"August 4th 2018, 13:28:56.697"
